,link,most_freq_positioning
6708,norman conquest of england,top
6709,norman invasion of england,top
6710,normandy,center-bottom
6711,normandy invasion,center-top
6712,normandy landing,center
6713,normandy landings,center-bottom
6714,norse,top
6715,norse god,center-top
6716,norse mythology,top
6717,north,top
6718,north africa,top
6719,north african,top
6720,north africans,center-top
6721,north america,top
6722,north america's,top
6723,north american,top
6724,north american continent,center-bottom
6725,north americans,center-top
6726,north atlantic ocean,top
6727,north atlantic oscillation,top
6728,north atlantic treaty organisation,center
6729,north atlantic treaty organization,center-top
6730,north atlantic treaty organization (nato),top
6731,north korea,bottom
6732,north korean,top
6733,north koreans,center-top
6734,north london,center-top
6735,north pacific ocean,center-top
6736,north sea,top
6737,north sea flood of 1953,center
6738,north sea hydrocarbon province,top
6739,north sea oil,top
6740,northeast,center
6741,northern africa,center
6742,northern belgium,top
6743,northern ireland,top
6744,northern irish,center-bottom
6745,northern mariana is.,bottom
6746,northern mariana islands,center-top
6747,northern pacific railway,top
6748,northern temperate zone,top
6749,northwest africa,center
6750,northwest africans,center
6751,norway,top
6752,norwegian,top
6753,norwegian border,top
6754,norwegians,bottom
6755,norwich,top
6756,not,center-bottom
6757,note,center-top
6758,nottingham,bottom
6759,nouakchott,top
6760,nouns,center-top
6761,novel,top
6762,novelist,top
6763,novelists,top
6764,novels,top
6765,noxious weeds,top
6766,np,center-top
6767,nuclear,center-top
6768,nuclear bomb,center-bottom
6769,nuclear explosions,center
6770,nuclear explosive,center-bottom
6771,nuclear fission,top
6772,nuclear industry,bottom
6773,nuclear power,center
6774,nuclear program,bottom
6775,nuclear weapon,center-bottom
6776,nuclear weapons,top
6777,nuclear-armed,center-top
6778,nuclear-powered,center-top
6779,number,top
6780,numbers,top
6781,numerical,center-bottom
6782,numerous varieties,bottom
6783,numismatics,center-bottom
6784,nurse,center-top
6785,nurse sharks,center-bottom
6786,nuthatches,center
6787,nutmeg,top
6788,nutrition,center-top
6789,nutritional,center
6790,nutritional yeast,center-bottom
6791,nutritionally,center-top
6792,nutritious,bottom
6793,nyc's,center-bottom
6794,nz,bottom
6795,o,top
6796,o.c.,bottom
6797,o2,center
6798,o3,center-top
6799,oasis,center
6800,oat,center-top
6801,oats,top
6802,obi-wan,center-bottom
6803,obi-wan kenobi,center-top
6804,observation ballons,center-bottom
6805,oc,top
6806,ocean,top
6807,ocean sea,center-top
6808,oceania,bottom
6809,oceanian,center
6810,oceanianic,top
6811,oceanic,center-bottom
6812,oceanic crust,top
6813,oceanographers,top
6814,oceanography,top
6815,oceans,top
6816,octavian,top
6817,october 1973 arab-israeli war,top
6818,odes,center
6819,odin,top
6820,odysseus,top
6821,odysseus',center-bottom
6822,odyssey,top
6823,oe,center
6824,of the same name,top
6825,officially elected,bottom
6826,oil,top
6827,oil crisis,center
6828,oil deposits,center-top
6829,oil extraction,center-bottom
6830,oil painting,top
6831,oil paintings,top
6832,oil production,center-bottom
6833,oil refineries,top
6834,oil refinery,center-top
6835,oil reservoirs,top
6836,oil trap,center-bottom
6837,oilfield,center-top
6838,oilman,center-bottom
6839,oils,center-bottom
6840,okapi,center-bottom
6841,olaudah equiano,bottom
6842,old english,top
6843,old english language,top
6844,old english poetry,center-bottom
6845,old hebrew,top
6846,old nubian,top
6847,old spanish,top
6848,old swiss confederacy,bottom
6849,oleg of novgorod,bottom
6850,oligarchic,top
6851,oligarchical,center-top
6852,oligarchs,center-top
6853,oligarchy,top
6854,oligocene,top
6855,olisipo,center-bottom
6856,olive,bottom
6857,olive oil,center-top
6858,oliver cromwell,top
6859,oliver cromwell's,top
6860,oliver twist,center
6861,ollanta humala,center-top
6862,olmec,top
6863,olmecs,center-bottom
6864,olympiads,bottom
6865,olympic,bottom
6866,olympic games,bottom
6867,olympic medals,center-bottom
6868,olympic sport,bottom
6869,olympics,center
6870,oman,bottom
6871,omani,center-top
6872,omanis,top
6873,omega-3,center-top
6874,omega-3 fatty acids,center
6875,on the origin of species by means of natural selection,center
6876,on the streets,center-top
6877,one of billions of galaxies,top
6878,one off donation,center
6879,one small step for a man,bottom
6880,onion,top
6881,onion dome,center-top
6882,onion domes,top
6883,onions,center
6884,online,center-bottom
6885,online donation form,center
6886,open cluster,top
6887,open clusters,center-top
6888,open source,top
6889,open sourced,bottom
6890,open-source software,top
6891,openbsd,bottom
6892,openoffice.org,center-bottom
6893,opera,bottom
6894,operas,top
6895,operatic,top
6896,operation overlord,center-top
6897,operation urgent fury,top
6898,operation wacht am rhein,center-bottom
6899,oppenheimer,center-bottom
6900,oppression,top
6901,optic fibres,center-bottom
6902,optical,center
6903,optical fibre,center
6904,optical microscope,top
6905,optical microscopes,center-top
6906,optical properties,bottom
6907,optical telescopes,top
6908,opus dei,bottom
6909,opéra garnier,center
6910,orbit,center-top
6911,orbital,center-bottom
6912,orbiting other stars,top
6913,orbits,center-top
6914,orca,center-top
6915,orcas,center
6916,order,bottom
6917,order of canada,center-bottom
6918,order of the bath,center-top
6919,order of the garter,center-top
6920,order of the thistle,bottom
6921,orders of the garter,center-top
6922,ordinal,bottom
6923,ordinal number,bottom
6924,ordinal numbers,center-bottom
6925,ordinary,center
6926,ordinary differential equation,center-bottom
6927,ordination of women,bottom
6928,ordovician,top
6929,oregano,center
6930,oregon,center-top
6931,organising a successful fundraising event,center-top
6932,organism,top
6933,organisms,top
6934,organization,top
6935,organizations,center-top
6936,origin,center-bottom
6937,origin of the universe,top
6938,original 1933 king kong,top
6939,original mini,top
6940,originating,top
6941,orion nebula,top
6942,orkney,center-top
6943,orkney islands,center-top
6944,ornamentation,top
6945,ornithischia,center
6946,ornithischian,center
6947,ornithischians,bottom
6948,ornithorhynchidae,top
6949,oroonoko,center-bottom
6950,orthodox,center-top
6951,orthodox christian,bottom
6952,orthodox christianity,center-bottom
6953,orthodox church,center
6954,orthodox churches,center-bottom
6955,orthodox churches of the east,center
6956,orthodoxy,top
6957,osaka,center-bottom
6958,osama bin laden,center-top
6959,osiris,top
6960,oslo,top
6961,osmium,top
6962,osprey,center-bottom
6963,ospreys,center-bottom
6964,osteomalacia,bottom
6965,ostrich,top
6966,ostriches,center-bottom
6967,oswald,bottom
6968,oswald of bernicia,center-top
6969,oswald of northumbria,top
6970,other animals' menstrual cycles,bottom
6971,other europeans,top
6972,other forms of football,bottom
6973,other gases,top
6974,other ingredients,top
6975,other names,top
6976,other planets,center-bottom
6977,other projects,center-top
6978,ottawa,top
6979,otter,bottom
6980,otters,bottom
6981,otto von bismarck,top
6982,"otto, fürst von bismarck",center-bottom
6983,ottoman,top
6984,ottoman empire,top
6985,ottoman rule,center-top
6986,ottoman turks,top
6987,ottomans,center-top
6988,ouagadougou,top
6989,our suffering,top
6990,outer hebrides,top
6991,outer mongolia,top
6992,outer solar system,top
6993,outer surface,top
6994,overseas railroad,center-top
6995,oviraptor,center-top
6996,owen,top
6997,owl,top
6998,owls,center
6999,oxbow lake,top
7000,oxbow lakes,top
7001,oxford,top
7002,oxygen,center-top
7003,oxygenated,top
7004,oxyrhynchus,top
7005,ozone,center-bottom
7006,ozone depletion,center
7007,p,top
7008,p'yŏngyang,center-bottom
7009,p1 international,center-bottom
7010,pablo picasso,bottom
7011,pac-man,center-top
7012,pachelbel,top
7013,pacific,top
7014,pacific ocean,top
7015,pacific oceans,center-top
7016,paganini,center
7017,paganism,top
7018,painter,top
7019,painting,top
7020,paintings,center
7021,pairwise alignment,top
7022,pakistan,top
7023,pakistan child sponsorship,center-bottom
7024,pakistan supporters contact,center-bottom
7025,pakistan supporters' group,center-bottom
7026,pakistan supporters' group main page,center-bottom
7027,pakistan's population,top
7028,pakistani,center
7029,pakistani economy,bottom
7030,pakistani states,top
7031,pakistanis,center-bottom
7032,palace of westminster,bottom
7033,palaeontologist,center-top
7034,palaeontologists,center
7035,palau,center
7036,paleocene,center-bottom
7037,paleological,center
7038,paleontological,top
7039,paleontological record,center-bottom
7040,paleontologist,center-top
7041,paleontologists,top
7042,paleontology,center-top
7043,palestine,center-top
7044,palestinian,center-top
7045,palestinian territories,center-bottom
7046,palestinian territories child sponsorship,center-bottom
7047,pali canon,top
7048,palladian,top
7049,palladian architecture,center-top
7050,palladianism,center
7051,palladium,center-bottom
7052,palm,top
7053,palm oil,center-bottom
7054,palm wood,center
7055,palms,top
7056,palmyra atoll,center-bottom
7057,pan,top
7058,pan am flight 103,center-bottom
7059,pan paniscus,top
7060,panama,top
7061,panama canal,top
7062,panama canals,center-bottom
7063,panama child sponsorship,center-bottom
7064,pandanus,center-bottom
7065,pandas,bottom
7066,papacy,top
7067,papal,top
7068,papal conclave,center
7069,papal supremacy,top
7070,paper currency,top
7071,paper money,top
7072,paprika,bottom
7073,papua new guinea,bottom
7074,papua new guineans,top
7075,paradox,center-top
7076,paraguay,top
7077,paraguay child sponsorship,center-bottom
7078,"paraguay world cup team supports ""6 villages for 2006""",center-top
7079,parasaurolophus,bottom
7080,paris,top
7081,parisian,top
7082,parisian stage,center-top
7083,parisians,center
7084,park,center-bottom
7085,parks,top
7086,parliament,top
7087,parliament of canada,top
7088,parliament of the united kingdom,top
7089,parliamentarism,center-top
7090,parliamentary,center-top
7091,parliamentary democracy,top
7092,parliamentary system,center-top
7093,parliamentary systems,top
7094,parrot,top
7095,parrots,center-bottom
7096,parsley,center-top
7097,parsnip,center-top
7098,parsnips,center-bottom
7099,parthenon,center-top
7100,partial deregulation of the labour market,center-bottom
7101,particles,center-top
7102,partition of africa,center-top
7103,partnership with fifa,center-bottom
7104,pascal,center-top
7105,pashtun,top
7106,pashtun people,center
7107,pashtuns,top
7108,passenger pigeon,bottom
7109,passenger trains,top
7110,passer domesticus,top
7111,passeridae,top
7112,pasteur,center-bottom
7113,pat cash,bottom
7114,pataliputra,center
7115,patient rights,bottom
7116,patna,center-top
7117,patriots,center-top
7118,paul,top
7119,paul cairns,top
7120,paul cézanne,center-top
7121,paul dirac,center-top
7122,paul kane,center-top
7123,paul mccartney,center-bottom
7124,paul of tarsus,center-top
7125,pb,bottom
7126,pb2+,center-top
7127,pc,top
7128,pcl3,center
7129,pcr,center
7130,pd,center-bottom
7131,pdf,center-top
7132,pea,top
7133,peace,center-top
7134,peace prize,center-bottom
7135,peacetime,center
7136,peafowl,center-top
7137,peak district,center-bottom
7138,peanut,center-bottom
7139,peanuts,center-top
7140,pearl,top
7141,pearl harbour,top
7142,pearls,top
7143,peas,top
7144,peasants' revolt,center
7145,peat bog,top
7146,pedagogical,center
7147,pedagogy,center-bottom
7148,pedro del valle,center-bottom
7149,peds,center-top
7150,peel,bottom
7151,peking,center-top
7152,pelagic,top
7153,pelagic zone,center
7154,pellagra,center-bottom
7155,pelycosaur,top
7156,pelycosaurs,bottom
7157,pelé,bottom
7158,penda,center-top
7159,penda of mercia,center-top
7160,penguin,top
7161,penguins,center-bottom
7162,pennine way,center
7163,pennsylvania,center-top
7164,pennsylvania railroad,center-top
7165,pennsylvania railroad's,bottom
7166,pentateuch,top
7167,people,top
7168,people's republic of china,top
7169,people's republic of china (prc),top
7170,pepper,top
7171,peppery,center-bottom
7172,"perchance it is not dead, but sleepeth",bottom
7173,peregrine falcon,center-bottom
7174,peregrine falcons,bottom
7175,perfect number,top
7176,performed,top
7177,pericarp,top
7178,periclean,top
7179,pericles,center
7180,pericles',center-bottom
7181,periodic table,top
7182,perl,bottom
7183,perl interpreter,center-top
7184,permian,center
7185,pernicious anaemia,center
7186,persia,top
7187,persia (iran),bottom
7188,persian,top
7189,persian empire,top
7190,persian empires,center-top
7191,persian gulf,top
7192,persian literary tradition,center
7193,persian literature,top
7194,persian poetry,center-bottom
7195,persians,top
7196,perth,bottom
7197,"perth, western australia",bottom
7198,peru,top
7199,peru child sponsorship,center-bottom
7200,peruvian,center
7201,peruvian sea,center-top
7202,peruvians,center-top
7203,pete sampras,center
7204,peter grimes,center-top
7205,peter i,center-top
7206,peter paul rubens,center-top
7207,peter the great,top
7208,peterborough chronicle,center
7209,petrograd,top
7210,petroleum,top
7211,petroleum sector,center-bottom
7212,pharaonic egypt,top
7213,phase,center-top
7214,phase of matter,top
7215,phases of matter,top
7216,pheidippides,bottom
7217,philadelphia,top
7218,philatelic society,center
7219,philatelists,center-bottom
7220,philately,center-bottom
7221,philip,center
7222,philip ii,center-bottom
7223,philip ii of spain,center-top
7224,"philip ii, king of spain",center
7225,philippine,top
7226,philippine islands,top
7227,philippines,top
7228,philippines child sponsorship,center-bottom
7229,philosopher,top
7230,philosophers,top
7231,philosophiae naturalis principia mathematica,center
7232,philosophic,center-top
7233,philosophical,center
7234,philosophical questions,bottom
7235,philosophical schools,top
7236,philosophical system,top
7237,philosophically,center
7238,philosophies,center-top
7239,philosophy,top
7240,philosophy of mind,top
7241,phishing,top
7242,phoenix,center-bottom
7243,phoenix lander,center-bottom
7244,phoenix mars lander,center-bottom
7245,phoenix zoo,top
7246,phone,top
7247,phonograph cylinder,center-top
7248,phosphide,center-top
7249,phosphorus,top
7250,phosphorus tribromide,center-bottom
7251,phosphorus trichloride,top
7252,photo gallery,center-bottom
7253,photographer,top
7254,photographic,top
7255,photographs,center-top
7256,photography,top
7257,photography project,top
7258,photon,center-top
7259,photons,center-top
7260,photosynthesis,top
7261,photosynthesising,center-top
7262,photosynthesize,bottom
7263,photosynthesizers,center-top
7264,photosynthesizing,bottom
